Date,AGG,BIL,DBC,GLD,IEF,SHY,SPY,TLT,VBR,VV
2018-10-12,86.3029556274414,77.28807830810547,15.633920669555664,115.2300033569336,85.86280059814453,71.67827606201172,248.1455078125,94.937744140625,112.07550811767578,113.75350952148438
2018-10-15,86.24528503417969,77.29647064208984,15.668877601623535,116.0,85.91415405273438,71.7042465209961,246.75164794921875,94.89627838134766,112.6822509765625,113.1787338256836
2018-10-16,86.294677734375,77.30494689941406,15.738789558410645,115.80000305175781,85.90556335449219,71.67827606201172,252.14707946777344,95.1119384765625,114.9532241821289,115.5946273803711
2018-10-17,86.12166595458984,77.30494689941406,15.598967552185059,115.79000091552734,85.65729522705078,71.67827606201172,252.1920928955078,94.5479736328125,114.58049011230469,115.61257934570312
2018-10-18,86.06398010253906,77.30494689941406,15.424187660217285,115.91999816894531,85.8114242553711,71.72152709960938,248.55006408691406,94.51477813720703,112.84693145751953,113.98701477050781
2018-10-19,85.98985290527344,77.31340026855469,15.511578559875488,116.01000213623047,85.70868682861328,71.67827606201172,248.415283203125,94.30740356445312,112.22283172607422,113.81639862060547
2018-10-22,85.97338104248047,77.33031463623047,15.529054641723633,115.70999908447266,85.72576904296875,71.66105651855469,247.30015563964844,94.18306732177734,111.59874725341797,113.34937286376953
2018-10-23,86.08050537109375,77.33031463623047,15.18823528289795,116.38999938964844,85.9483642578125,71.7042465209961,246.04127502441406,94.48164367675781,110.5586166381836,112.74765014648438
2018-10-24,86.3029556274414,77.3387222290039,15.083369255065918,116.66000366210938,86.41071319580078,71.81654357910156,238.58656311035156,95.1948471069336,107.14347076416016,109.28997039794922
2018-10-25,86.22879028320312,77.34721374511719,15.144542694091797,116.4000015258789,86.20521545410156,71.79060363769531,242.866943359375,94.7967529296875,108.9550552368164,111.34659576416016
2018-10-26,86.42649841308594,77.35563659667969,15.258146286010742,116.7699966430664,86.59052276611328,71.8338394165039,238.5955047607422,95.3690185546875,107.82823181152344,109.3528060913086
2018-10-29,86.33589172363281,77.35563659667969,15.100848197937012,116.30999755859375,86.58191680908203,71.85978698730469,237.27365112304688,95.15338897705078,107.7762222290039,108.65228271484375
2018-10-30,86.21232604980469,77.35563659667969,15.022197723388672,115.80000305175781,86.39359283447266,71.8251953125,240.78968811035156,94.68063354492188,109.63115692138672,110.37666320800781
2018-10-31,86.17111206054688,77.36410522460938,14.821200370788574,115.1500015258789,86.17953491210938,71.79060363769531,243.36146545410156,94.19962310791016,109.86517333984375,111.61602783203125
2018-11-01,86.38887023925781,77.38102722167969,14.716336250305176,116.62999725341797,86.25334167480469,71.83045959472656,245.9513702392578,94.28693389892578,111.74610137939453,112.80152893066406
2018-11-02,86.13221740722656,77.38102722167969,14.681379318237305,116.6500015258789,85.77284240722656,71.74385833740234,244.49462890625,93.11466217041016,111.93679809570312,112.11898040771484
2018-11-05,86.1901626586914,77.38948059082031,14.67264175415039,116.37000274658203,85.82434844970703,71.76988983154297,245.84347534179688,93.48047637939453,112.48287963867188,112.72967529296875
2018-11-06,86.19844055175781,77.38948059082031,14.611467361450195,116.04000091552734,85.72997283935547,71.75254821777344,247.39907836914062,93.4222640991211,113.12428283691406,113.41223907470703
2018-11-07,86.27294921875,77.39793395996094,14.57651424407959,116.02999877929688,85.72997283935547,71.72657775878906,252.69558715820312,93.5469741821289,114.72784423828125,115.828125
2018-11-08,86.1156234741211,77.40637969970703,14.489123344421387,115.77999877929688,85.60984802246094,71.71792602539062,252.2369842529297,93.5386734008789,114.40711975097656,115.60359191894531
2018-11-09,86.2232666015625,77.4233169555664,14.331822395324707,114.4800033569336,85.94448852539062,71.75254821777344,249.7731170654297,94.23701477050781,113.17634582519531,114.53485870361328
